id,name,type,total_value
1,cash_pickup_maize_bundle_0.25_acre,Paid Upfront,2400.00
2,cash_pickup_maize_bundle_0.5_acre_old,Paid Upfront,4150.00
3,cash_pickup_maize_bundle_1_acre_old,Paid Upfront,7550.00
4,cash_pickup_PICS_5_units,Paid Upfront,1200.00
8,Old_cash_pickup_can_boost_1_acre_old,Paid Upfront,2050.00
9,old_cash_pickup_can_boost_0.5_acre,Paid Upfront,985.00
10,OLD_cash_pickup_dap_boost_1.5_acre,Paid Upfront,4574.00
12,cash_pickup_dap_boost_0.5_acre_old,Paid Upfront,1600.00
13,cash_pickup_urea_boost_1.5_acre,Paid Upfront,4048.00
14,cash_pickup_urea_boost_1_acre_old,Paid Upfront,2650.00
15,cash_pickup_urea_boost_0.5_acre_old,Paid Upfront,1400.00
17,cash_pickup_soil_improver_0.5_acre,Paid Upfront,800.00
18,OLD_cash_pickup_charcoal_cookstove,Paid Upfront,3320.00
19,cash_iron_sheet_3m_8_units,Paid Upfront,7680.00
20,cash_pickup_wheelbarrow,Paid Upfront,3299.00
21,cash_pickup_sprayer_old,Paid Upfront,2200.00
22,cash_pickup_paygo_sunking_boom,Paid Upfront,5300.00
26,loan_pickup_maize_bundle_1_acre_old,Loan,8305.00
27,OLD_loan_pickup_maize_bundle_0.5_acre,Loan,4565.00
28,loan_pickup_maize_bundle_0.25_acre_old,Loan,2827.00
29,loan_pickup_PICS_10_units_old,Loan,2640.00
30,loan_pickup_harvest_drying_sheet_old,Loan,3410.00
31,OLD_loan_pickup_can_boost_1.5_acre,Loan,3227.00
32,loan_pickup_can_boost_1_acre_old,Loan,2255.00
33,loan_pickup_dap_boost_1.5_acre_old,Loan,5060.00
34,OLD_loan_pickup_dap_boost_1_acre_old,Loan,3300.00
35,loan_pickup_dap_boost_0.5_acre_old,Loan,1760.00
36,loan_pickup_urea_boost_1.5_acre,Loan,4453.00
37,loan_pickup_urea_boost_1_acre_old,Loan,2915.00
38,OLD_loan_pickup_urea_boost_0.5_acre,Loan,1539.00
39,loan_pickup_soil_improver_1_acre,Loan,1661.00
40,OLD_loan_pickup_charcoal_cookstove,Loan,3652.00
41,loan_iron_sheet_3m_8_units,Loan,8448.00
42,loan_pickup_wheelbarrow_old,Loan,4026.00
43,loan_pickup_sprayer_old,Loan,2420.00
44,loan_pickup_paygo_sunking_boom,Loan,6095.00
45,loan_pickup_paygo_sunking_home,Loan,10235.00
46,loan_pickup_paygo_sunking_pro,Loan,4600.00
47,loan_pickup_paygo_biolite_home,Loan,10695.00
48,loan_pickup_sunking_pico,Loan,900.00
49,loan_test_10_ksh,Loan,34.00
50,loan_pickup_soil_improver_2.5_acre,Loan,4090.00
52,Old_cash_delivery_maize_bundle_1_acre,Paid Upfront,7574.00
53,Old_old_cash_delivery_maize_bundle_0.5_acre,Paid Upfront,4234.00
54,cash_delivery_maize_bundle_0.25_acre,Paid Upfront,2550.00
56,cash_delivery_PICS_5_units,Paid Upfront,1350.00
58,Old_cash_delivery_can_boost_1_acre,Paid Upfront,2099.00
7,OLD_cash_pickup_can_boost_1.5_acre,Paid Upfront,3700.00
11,cash_pickup_dap_boost_1_acre_old,Paid Upfront,3000.00
59,old_cash_delivery_can_boost_0.5_acre,Paid Upfront,1135.00
60,OLD_cash_delivery_can_boost_1.5_acre,Paid Upfront,3850.00
62,cash_delivery_dap_boost_1_acre_old,Paid Upfront,3150.00
63,cash_delivery_dap_boost_1.5_acre_old,Paid Upfront,4750.00
64,OLD_cash_delivery_urea_boost_0.5_acre,Paid Upfront,1549.00
65,OLD_cash_delivery_urea_boost_1_acre,Paid Upfront,2799.00
77,loan_pickup_iron_sheet_3m_8_units,Loan,10560.00
78,old_loan_delivery_can_boost_1_acre,Loan,2294.00
79,loan_delivery_charcoal_cookstove,Loan,4869.00
80,OLD_loan_delivery_dap_boost_0.5_acre,Loan,1909.00
