id,contract_reference,payment_date,type,amount_paid
19578,C41540014,2021-07-30T05:39:18.794501,Downpayment,0.00
19787,C42500017,2021-08-03T10:46:59.018403,Downpayment,0.00
19788,C42500017,2021-08-03T10:47:01.88558,,33.00
19943,C43450014,2021-08-05T07:44:09.892928,Downpayment,0.00
19944,C43450014,2021-08-05T07:44:14.35165,,50.00
20024,C46290011,2021-08-05T12:54:43.098315,Downpayment,0.00
20025,C46290011,2021-08-05T12:54:48.628442,,6.00
20045,C44360014,2021-08-05T13:43:14.993488,Downpayment,0.00
20046,C44360014,2021-08-05T13:43:20.64174,,108.00
20112,C45230018,2021-08-06T07:19:25.416848,Downpayment,0.00
20113,C45230018,2021-08-06T07:19:32.024439,,206.00
20144,C43100015,2021-08-06T09:39:09.410404,Downpayment,0.00
20145,C43100015,2021-08-06T09:39:15.496594,,10.00
20193,C42790014,2021-08-06T10:51:25.836374,Downpayment,0.00
20194,C42790014,2021-08-06T10:51:31.809163,,86.00
20225,C45880010,2021-08-06T12:07:50.040743,Downpayment,0.00
20250,C46430013,2021-08-06T12:12:29.952628,Downpayment,0.00
20281,C46630018,2021-08-06T13:44:18.513912,Downpayment,0.00
20282,C46630018,2021-08-06T13:44:25.700004,,5.00
20542,C43120013,2021-08-07T07:08:27.28791,Downpayment,0.00
20543,C43120013,2021-08-07T07:08:34.961287,,416.00
20613,C41870015,2021-08-07T07:16:53.178437,Downpayment,0.00
20614,C41870015,2021-08-07T07:17:01.877491,,8.00
20767,C48460018,2021-08-07T09:13:00.812651,Downpayment,0.00
20965,C37840014,2021-08-08T13:29:03.921907,Downpayment,0.00
20978,C43100015,2021-08-08T17:01:30.086529,,600.00
21327,C50260017,2021-08-09T06:18:01.282168,Downpayment,0.00
21328,C50260017,2021-08-09T06:18:14.378717,,98.00
21436,C45090016,2021-08-09T07:02:28.775714,Downpayment,0.00
21437,C45090016,2021-08-09T07:02:44.140807,,95.00
21600,C51350015,2021-08-09T07:13:01.722787,Downpayment,0.00
21601,C51350015,2021-08-09T07:13:16.384453,,433.00
21773,C51760015,2021-08-09T07:36:22.278908,Downpayment,0.00
21774,C51760015,2021-08-09T07:36:36.900174,,54.00
21956,C46690012,2021-08-09T08:02:43.004309,Downpayment,0.00
21957,C46690012,2021-08-09T08:03:00.202789,,15.00
22084,C42800011,2021-08-09T08:13:16.351154,Downpayment,0.00
22085,C42800011,2021-08-09T08:13:31.926823,,174.00
22218,C43100015,2021-08-09T08:25:17.89708,,10.00
22219,C51760015,2021-08-09T08:26:08.731081,,50.00
22571,C45090016,2021-08-09T10:42:27.65265,,1000.00
22790,C45960010,2021-08-09T11:28:18.273768,Downpayment,0.00
22791,C45960010,2021-08-09T11:28:36.086751,,25.00
23098,C46840013,2021-08-09T12:07:51.133297,Downpayment,0.00
23099,C46840013,2021-08-09T12:08:13.40363,,5.00
23177,C42710012,2021-08-09T12:11:04.613711,Downpayment,0.00
23178,C42710012,2021-08-09T12:11:25.838807,,4.00
23180,C45090016,2021-08-09T12:34:02.406354,,13.00
23505,C48560015,2021-08-09T12:49:57.55297,Downpayment,0.00
23506,C48560015,2021-08-09T12:50:20.421163,,46.00
25106,C53310017,2021-08-10T07:03:09.46422,Downpayment,0.00
25107,C53310017,2021-08-10T07:03:35.841605,,7.00
25498,C50100015,2021-08-10T08:42:43.761834,Downpayment,0.00
25499,C50100015,2021-08-10T08:43:08.126096,,5.00
25601,C46370011,2021-08-10T09:23:03.509995,Downpayment,0.00
25602,C46370011,2021-08-10T09:23:30.70045,,48.00
26990,C44460012,2021-08-10T13:31:44.535033,Downpayment,0.00
26991,C44460012,2021-08-10T13:32:24.048015,,1174.00
27107,C49710015,2021-08-10T14:16:16.665458,Downpayment,0.00
27108,C49710015,2021-08-10T14:16:53.861646,,3.00
27221,C49700016,2021-08-10T14:18:24.305047,Downpayment,0.00
27222,C49700016,2021-08-10T14:19:02.139695,,3.00
27469,C44460012,2021-08-10T17:51:39.55351,,158.00
27834,C49980014,2021-08-11T06:20:24.168278,Downpayment,0.00
27835,C49980014,2021-08-11T06:20:53.542666,,330.00
28322,C44910016,2021-08-11T06:59:19.495284,Downpayment,0.00
28323,C44910016,2021-08-11T06:59:54.670639,,4.00
28573,C57100018,2021-08-11T08:02:09.765587,Downpayment,0.00
28574,C57100018,2021-08-11T08:02:44.433029,,114.00
29478,C56390016,2021-08-11T09:40:26.109879,Downpayment,0.00
29479,C56390016,2021-08-11T09:41:02.859731,,53.00
