reference,status,start_date,offer_id,lead_id,cumulative_amount_paid,nominal_contract_value
C277970018,Active,2022-01-12T12:12:43.068896,419,26147,1744,3890.64
C610620015,Active,2022-01-12T08:25:29.750966,419,59360,5810,6805.64
C559350012,Active,2022-01-12T08:26:58.185562,419,54223,1250,6835.64
C684760010,Active,2022-01-12T10:25:30.239899,419,66893,500,1805.64
C102110012,Active,2022-01-12T12:14:21.610451,419,8989,2005,5105.64
C42790014,Active,2021-08-06T10:51:25.836374,405,3480,5898,7398
C564220010,Active,2022-01-13T07:34:20.785959,419,54711,2100,3890.64
C45160017,Active,2021-08-13T06:30:58.078628,405,3709,7661,10909
C44340016,Active,2021-08-16T07:04:46.244005,405,3629,3158,4007
C43450014,Active,2021-08-05T07:44:09.892928,405,3540,6498,8498
C50260017,Active,2021-08-09T06:18:01.282168,406,4168,800,3927
C45090016,Active,2021-08-09T07:02:28.775714,405,3702,5753,7134
C51760015,Active,2021-08-09T07:36:22.278908,405,4314,7208,11417
C49940018,Active,2021-08-12T14:27:31.44473,405,4136,2198,3855
C53890018,Completed,2021-08-12T14:32:10.955764,405,4517,8501,8501
C55130017,Active,2021-08-17T08:50:27.75308,405,4641,7728,8703
C55270011,Active,2021-08-17T14:07:59.576015,406,4655,7360,7691.27
C77930014,Active,2021-08-18T07:42:32.068734,405,6796,7328,7332
C57100018,Active,2021-08-11T08:02:09.765587,405,4833,4908,6922
C46760013,Active,2021-08-16T13:36:08.172047,405,3858,8528,9422
C67850016,Active,2021-08-18T10:54:16.36459,406,5878,1900.1,13362
C41540014,Active,2021-07-30T05:39:18.794501,405,3392,3355.43,6046.43
C42500017,Active,2021-08-03T10:46:59.018403,405,3455,4286,5844
C45230018,Active,2021-08-06T07:19:25.416848,405,3716,3031,3857
C43100015,Active,2021-08-06T09:39:09.410404,405,3505,9037.82,9568.82
C45880010,Active,2021-08-06T12:07:50.040743,405,3777,10258,10262
C46430013,Active,2021-08-06T12:12:29.952628,405,3828,5588,10401
C46630018,Active,2021-08-06T13:44:18.513912,405,3848,8752.96,8852.96
C43120013,Active,2021-08-07T07:08:27.28791,405,3507,10158,10162
C41870015,Active,2021-08-07T07:16:53.178437,405,3419,3135,5678
